Functional Group,Ecomorphotype,Realm,Ocean Basin,Ecosystem,Top-down: Direct Predation: Effect Size,Top-down: Direct Predation: Strength of Evidence,Top-down: Risk Effects: Effect Size,Top-down: Risk Effects: Strength of Evidence,Top-down: Trophic Cascade: Effect Size,Top-down: Trophic Cascade: Strength of Evidence,Competition: Effect Size,Competition: Strength of Evidence,Facilitation: Effect Size,Facilitation: Strength of Evidence,Bottom-up: Nutrient Vector Storage: Sharks as Food: Effect Size,Bottom-up: Nutrient Vector Storage: Sharks as Food: Strength of Evidence,Bottom-up: Nutrient Vector Storage: Carcass Deposition: Effect Size,Bottom-up: Nutrient Vector Storage: Carcass Deposition: Strength of Evidence,Bottom-up: Nutrient Vector Storage: Bioturbation: Effect Size,Bottom-up: Nutrient Vector Storage: Bioturbation: Strength of Evidence,Bottom-up: Nutrient Vector Storage: Excretion & Egestion: Effect Size,Bottom-up: Nutrient Vector Storage: Excretion & Egestion: Strength of Evidence,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Kelp,Medium,Medium,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Kelp,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,Medium,High,High,High,,,,,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,Medium,High,,,,,,,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,
