response,time_period,score
1,pre_human,5
2,pre_human,5
3,pre_human,5
4,pre_human,5
5,pre_human,5
6,pre_human,5
7,pre_human,5
8,pre_human,5
9,pre_human,5
10,pre_human,5
11,pre_human,5
12,pre_human,5
13,pre_human,5
14,pre_human,5
15,pre_human,5
16,pre_human,5
17,pre_human,5
1,pre_contact,20
2,pre_contact,5
3,pre_contact,45
4,pre_contact,45
5,pre_contact,45
6,pre_contact,20
7,pre_contact,75
8,pre_contact,20
9,pre_contact,45
10,pre_contact,20
11,pre_contact,45
12,pre_contact,45
13,pre_contact,20
14,pre_contact,20
15,pre_contact,20
16,pre_contact,20
17,pre_contact,75
1,colonial,20
2,colonial,75
3,colonial,20
4,colonial,20
5,colonial,20
6,colonial,20
7,colonial,20
8,colonial,5
9,colonial,20
10,colonial,20
11,colonial,20
12,colonial,20
13,colonial,20
14,colonial,20
15,colonial,20
16,colonial,20
17,colonial,20
1,post_colonial,20
2,post_colonial,45
3,post_colonial,20
4,post_colonial,20
5,post_colonial,20
6,post_colonial,45
7,post_colonial,20
8,post_colonial,45
9,post_colonial,95
10,post_colonial,20
11,post_colonial,5
12,post_colonial,5
13,post_colonial,45
14,post_colonial,20
15,post_colonial,20
16,post_colonial,20
17,post_colonial,45
1,modern_one,20
2,modern_one,20
3,modern_one,20
4,modern_one,20
5,modern_one,20
6,modern_one,20
7,modern_one,20
8,modern_one,20
9,modern_one,20
10,modern_one,20
11,modern_one,20
12,modern_one,20
13,modern_one,45
14,modern_one,20
15,modern_one,45
16,modern_one,20
17,modern_one,20
1,modern_two,45
2,modern_two,95
3,modern_two,45
4,modern_two,75
5,modern_two,75
6,modern_two,95
7,modern_two,75
8,modern_two,75
9,modern_two,45
10,modern_two,75
11,modern_two,95
12,modern_two,75
13,modern_two,45
14,modern_two,45
15,modern_two,75
16,modern_two,45
17,modern_two,75
1,modern_three,75
2,modern_three,45
3,modern_three,75
4,modern_three,45
5,modern_three,45
6,modern_three,75
7,modern_three,45
8,modern_three,95
9,modern_three,75
10,modern_three,75
11,modern_three,75
12,modern_three,95
13,modern_three,75
14,modern_three,75
15,modern_three,75
16,modern_three,45
17,modern_three,45
